numero_national_de_structure;libelle;sigle;annee_de_creation;type_de_structure;code_de_type_de_structure;code_de_niveau_de_structure;site_web;adresse;code_postal;commune;nom_du_responsable;prenom_du_responsable;titre_du_responsable;label_numero;tutelles;sigles_des_tutelles;code_de_nature_de_tutelle;nature_de_tutelle;uai_des_tutelles;siret_des_tutelles;code_de_type_de_tutelle;type_de_tutelle;numero_de_structure_enfant;numero_de_structure_parent;numero_de_structure_historique;type_de_succession;code_de_type_de_succession;annee_d_effet_historique;code_domaine_scientifique;domaine_scientifique;code_panel_erc;panel_erc;fiche_rnsr
201923240H;Mathématiques et calcul scientifique pour les applications bio-médicales;COMMEDIA;2019;Unité propre;21;2;http://www.inria.fr/equipes/commedia;;75012;Paris;FERNÁNDEZ;Miguel Ángel;;;Centre national de la recherche scientifique,Institut national de la recherche en informatique et automatique,Sorbonne Université;CNRS,INRIA,SORBONNE UNIV.;EPST,EPST,UNIV;Organismes de type EPST,Organismes de type EPST,Université;0753639Y,0780491K,0755890V;18008901303720,18008904700013,13002338500011;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;196718247G,199712644L;;;;;9;Sciences et technologies de l'information et de la communication;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201923240H&PUBLIC=OK
201019109G;UMR 8207 - UMET - Unité Matériaux et Transformations;;2010;Unité mixte;22;2;http://umet.univ-lille.fr;Cité Scientifique, bâtiment C6, Ave Paul Langevin;59650;VILLENEUVE D ASCQ;DELAPLACE,DUQUESNE,JACOB;Guillaume,Sophie,Damien;Directeur,Directrice adjoint,Directeur adjoint;UMR 8207,UMR 8207,UMR 0638,UMR 8207;Centrale Lille Institut,Centre national de la recherche scientifique,Institut national de recherche pour l'agriculture, l'alimentation et l'environnement,Université de Lille (EPE);CLI,CNRS,INRAE,LILLE;AUT_ETAB,EPST,EPST,UNIV;Autres établissements ESR,Organismes de type EPST,Organismes de type EPST,Université;0597139P,0753639Y,0597239Y;19590349700012,18008901303720,18007003901803,13002975400012;TUTE,TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle;201523983H,201523982G,201023981C,201023980B,201023979A,196317940R;200610674F;;;;;2,3,4,8,10;Physique,Sciences de la terre et de l'univers, espace,Chimie,Sciences pour l'ingénieur,Sciences agronomiques et écologiques;"PE5;PE10;PE3;PE8;PE9;LS9";Synthetic Chemistry and Materials : New materials and new synthetic approaches, structure-properties relations, solid state chemistry, molecular architecture, organic chemistry,Earth System Science : Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management,Condensed matter physics : structure, electronic properties, fluids, nanosciences, biological physics,Products and Processes Engineering : Product and process design, chemical, civil, environmental, mechanical, vehicle engineering, energy processes and relevant computational methods,Universe Sciences : Astro-physics/-chemistry/-biology,solar system,planetary systems,stellar, galactic and extragalactic astronomy,cosmology,space sciences,astronomical instrumentation and data,Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201019109G&PUBLIC=OK
201822911E;Pôle Imagerie Médicale;;2018;Equipe interne;1;1;;;;;GRENIER;Nicolas;;;CHU Hôpitaux de Bordeaux;CHU BORDEAUX;MEDIC;Etablissements de santé;;26330582300019;TUTE;établissement tutelle;;;;;;;;;LS4;Physiology in Health, Disease and Ageing : Organ and tissue physiology, comparative physiology, physiology of ageing, pathophysiology, inter-organ and tissue communication, endocrinology, nutrition, metabolism, interaction with the microbiome, non-communicable diseases including cancer (and except disorders of the nervous system and immunity-related diseases);https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201822911E&PUBLIC=OK
201922931X;LABORATOIRE MEMOIRE,CERVEAU et COGNITION;MC² Lab;2019;Unité propre;21;2;http://recherche.parisdescartes.fr/LaboratoireMemoireCognition/Presentation;Institut de Psychologie, Centre Henri Piéron, 71 avenue Edouard Vaillant;92100;Boulogne Billancourt;PIOLINO;Pascale;;URP 7536;Université Paris Cité;U PARIS Cité;UNIV;Université;0755976N;13002573700011;TUTE;établissement tutelle;;;200816530M;essaimage;S;2019;6;Sciences humaines et humanités;SH4;The Human Mind and Its Complexity : Cognitive science, psychology, linguistics;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201922931X&PUBLIC=OK
201722932G;Procédés Céramiques innovants;;2017;Equipe interne;1;1;http://www.ircer.fr/recherche/axe1;Centre Européen de la Céramique - 12 Rue Atlantis;87068;LIMOGES;VIDECOQ;Arnaud;;;Université Limoges,Centre national de la recherche scientifique;LIMOGES,CNRS;UNIV,EPST;Université,Organismes de type EPST;0870669E,0753639Y;19870669900321,18008901303720;TUTE,TUTE;établissement tutelle,établissement tutelle;;201220198G;;;;;4;Chimie;PE5;Synthetic Chemistry and Materials : New materials and new synthetic approaches, structure-properties relations, solid state chemistry, molecular architecture, organic chemistry;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201722932G&PUBLIC=OK
202023688R;Bibliothèque de l'Institut de France;BIF;2020;Unité propre;21;2;http://www.bibliotheque-institutdefrance.fr;23 quai de Conti;75006;Paris;Bérard;Françoise;DIR;;Institut de France;IF;AUT_ETAB;Autres établissements ESR;0750005Y;18004404200018;TUTE;établissement tutelle;;;;;;;6;Sciences humaines et humanités;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202023688R&PUBLIC=OK
202123738R;Département systèmes et circuits intégrés numériques;DSCIN;2020;Unité propre;21;2;;Nano-INNOV  2 Boulevard Thomas Gobert;91120;Palaiseau;CLERMIDY;Fabien;DIR;;Commissariat à l'énergie atomique et aux énergies alternatives;CEA;EPIC;Organismes de type EPIC;0912281K;77568501900587;TUTE;établissement tutelle;;;;;;;9;Sciences et technologies de l'information et de la communication;PE7;Systems and communication engineering : Electrical, electronic, communication, optical and systems engineering;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202123738R&PUBLIC=OK
201923449K;DMU APHP.Centre : Cancérologie et spécialités médico-chirurgicales;;2019;Equipe interne;1;1;;;;PARIS;Coriat;Romain;DIR;;Assistance Publique des Hôpitaux de Paris;AP-HP;MEDIC;Etablissements de santé;;26750045201928;TUTE;établissement tutelle;;;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201923449K&PUBLIC=OK
202023496G;Centre d'Économie de l'ENS Paris-Saclay;CEPS;2020;Unité propre;21;2;https://ceps-paris-saclay.fr/;4, Avenue des Sciences;91190;Gif-sur-Yvette;BOS;Olivier;DIR;;Ecole normale supérieure Paris-Saclay,Université Paris-Saclay;ENS Paris-Saclay,U PARIS-SACLAY;AUT_ETAB,UNIV;Autres établissements ESR,Université;0912423P,0912408Y;19940607500036,13002602400054;TUTE,TUTE;établissement tutelle,établissement tutelle;;;;;;;6;Sciences humaines et humanités;SH1;Individuals, Markets and Organisations : Economics, finance, management;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202023496G&PUBLIC=OK
202023503P;Fédération de Recherche pour l’Innovation et la Transition énergétique;FITE;2020;Structures Fédératives de Recherche;3;3;;UNIV ORLEANS;45067;ORLEANS CEDEX 2;HALTER,HIGELIN,AUBRY;Fabien,Pascal,Olivier;DIR,DIR-ADJ,DIR-ADJ;FR 2039;Université Orléans,Centre national de la recherche scientifique,Institut national des sciences appliquées Centre Val de Loire;ORLEANS,CNRS,INSA CENTRE VA;UNIV,EPST,AUT_ETAB;Université,Organismes de type EPST,Autres établissements ESR;0450855K,0753639Y,0180974L;19450855200016,18008901303720,13001833600011;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;;;;;;8;Sciences pour l'ingénieur;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202023503P&PUBLIC=OK
202023511Y;Building large instruments for neuroimaging: from population imaging to ultra-high magnetic fields;BAOBAB;2020;Unité mixte;22;2;;CEA, Bâtiment 145 PC156;91191;GIF SUR YVETTE CEDEX - ST AUBIN;MANGIN,POUPON;Jean-François,Cyril;DIR,DIR-ADJ;UMR 9027;Centre national de la recherche scientifique,Commissariat à l'énergie atomique et aux énergies alternatives,Université Paris-Saclay;CNRS,CEA,U PARIS-SACLAY;EPST,EPIC,UNIV;Organismes de type EPST,Organismes de type EPIC,Université;0753639Y,0912281K,0912408Y;18008901303720,77568501900587,13002602400054;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;201722552U;201722552U;éclatement;E;2020;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202023511Y&PUBLIC=OK
202023512Z;Fédération de Recherche sur l'Hydrogène;FRH2;2020;Structures Fédératives de Recherche;3;3;;NANTES UNIV, IMN-UMR6502- Sciences & techni, 2 rue de la Houssinière, BP 32229;44322;NANTES CEDEX 3;HISSEL,JOUBERT;Daniel,Olivier;DIR-ADJ,DIR;FR 2044,FR 2044,FRA 2007,FR 2044;Ec Nat Sup Mécanique Microtechniques Besançon,Institut National Polytechnique Toulouse,Ecole Nationale Supérieure de Chimie de Montpellier,Ecole Nationale Supérieure de Chimie de Rennes,Institut National des Sciences Appliquées Rennes,Ecole Nationale Supérieure des Mines de Saint-Etienne (Mines Saint-Etienne),Université Orléans,Centrale Lille Institut,Université Artois,Université Claude Bernard Lyon 1,Université Savoie Chambéry,Ecole Nationale Supérieure de Chimie de Paris - Chimie ParisTech,Université Picardie Jules-Verne Amiens,Ecole Nationale Supérieure Mécanique et Aérotechnique Poitiers,Université de Poitiers,Université Limoges,Université de Technologie de Belfort-Montbéliard,Université Paris est Créteil Val de Marne,Université Pascal Paoli Corse,Centre national de la recherche scientifique,Institut Polytechnique Bordeaux,Université Strasbourg,Université de Lorraine,Université de Bordeaux,Université Paris-Saclay,Université Grenoble Alpes,Université Paris sciences et lettres,Nantes Université,Université de Montpellier (EPE),Université de Lille (EPE),Université de Rennes (EPE),Université Marie et Louis Pasteur,Université de Toulouse EPE,Université La Réunion;ENS MECA. BESAC,INP TOULOUSE,ENS CHIM. MONTPELLIER,ENS CHIM. RENNES,INSA RENNES,ENSM ST-ETIENNE,ORLEANS,CLI,ARTOIS,LYON 1,CHAMBERY,ENS CHIM. PARIS,AMIENS,ENSMA POITIERS,UP,LIMOGES,UT BELFORT,UPEC,CORSE,CNRS,Bordeaux INP,U. STRASBOURG,LORRAINE,BORDEAUX,U PARIS-SACLAY,GRENOBLE ALPES,PSL,Nantes Université,MONTPELLIER,LILLE,RENNES,UMLP,UT,LA REUNION;AUT_ETAB,AUT_ETAB,AUT_ETAB,AUT_ETAB,AUT_ETAB,AUT_ETAB,UNIV,AUT_ETAB,UNIV,UNIV,UNIV,AUT_ETAB,UNIV,AUT_ETAB,UNIV,UNIV,UNIV,UNIV,UNIV,EPST,AUT_ETAB,UNIV,UNIV,UNIV,UNIV,UNIV,UNIV,UNIV,UNIV,UNIV,UNIV,UNIV,UNIV,UNIV;Autres établissements ESR,Autres établissements ESR,Autres établissements ESR,Autres établissements ESR,Autres établissements ESR,Autres établissements ESR,Université,Autres établissements ESR,Université,Université,Université,Autres établissements ESR,Université,Autres établissements ESR,Université,Université,Université,Université,Université,Organismes de type EPST,Autres établissements ESR,Université,Université,Université,Université,Université,Université,Université,Université,Université,Université,Université,Université,Université;0250082D,0311381H,0340112M,0350077U,0350097R,0420094Z,0450855K,0597139P,0623957P,0691774D,0730858L,0753375L,0801344B,0860073M,0860856N,0870669E,0900424X,0941111X,7200664J,0753639Y,0333232J,0673021V,0542493S,0333298F,0912408Y,0383546Y,0756036D,0442953W,0342490X,0597239Y,0353074B,0252044L,0313218E,9740478B;19250082500026,19311381800127,19340112200026,19350077400016,19350097200016,18009202500105,19450855200016,19590349700012,19624401600016,19691774400019,19730858800015,13002142100016,19801344300017,19860073600021,19860856400375,19870669900321,19900356700013,19941111700013,19202664900624,18008901303720,13000635600013,13000545700010,13001550600012,13001835100010,13002602400054,13002608100013,13002614900018,13002974700016,13002979600013,13002975400012,13003051300019,93810656400017,93827139200012,19974478000016;TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,PART;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement participant;199911771D;;;;;;4;Chimie;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202023512Z&PUBLIC=OK
202023541F;Laboratoire Découverte de Pathogènes;;2020;Unité propre;21;2;https://research.pasteur.fr/en/team/pathogen-discovery/;Institut Pasteur, 25-28 rue du Docteur Roux;75724;Paris Cedex 15;DHEILLY;Nolwenn;;;Institut Pasteur;INSTITUT PASTEUR;FONDATION;Fondation et institut particulier (Institut pasteur, Institut Curie, etc.);0755366A;77568489700017;TUTE;établissement tutelle;;200621937Y;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202023541F&PUBLIC=OK
199814201Z;ULR 2697 - L2EP - LABORATOIRE D'ELECTROTECHNIQUE ET D'ELECTRONIQUE DE PUISSANCE DE LILLE;;1989;Unité mixte;22;2;http://l2ep.univ-lille.fr/;Université de Lille - Bâtiment ESPRIT - Cité Scientifique;59555;VILLENEUVE D'ASCQ;BOUSCAYROL,TOUNZI,FRANCOIS,GRUSON,SAUDEMONT;Alain,Abdelmounaïm,Bruno,François,Christophe;Directeur,Correspondant ULille,Correspondant CLI,Correspondant ENSAM,Correspondant JUNIA;ULR 2697,EA 2697,ULR 2697;Centrale Lille Institut,Ecole Nationale Supérieure d'Arts et Métiers,JUNIA - Grande école d'ingénieur de LILLE,Université de Lille (EPE);CLI,Arts et Métiers,JUNIA,LILLE;AUT_ETAB,AUT_ETAB,AUT_ETAB,UNIV;Autres établissements ESR,Autres établissements ESR,Autres établissements ESR,Université;0597139P,0753237L,0597165T,0597239Y;19590349700012,19753472000010,78370700300035,13002975400012;TUTE,TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle;201023906W,200523907U,200023905N,200023904M;;;;;;8;Sciences pour l'ingénieur;PE7;Systems and communication engineering : Electrical, electronic, communication, optical and systems engineering;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199814201Z&PUBLIC=OK
200423157H;Département  micro-Technologies pour la Biologie et la Santé;DTBS;2004;Unité propre;21;2;;17 rue des martyrs;38054;GRENOBLE;CHATON;Patrick;;;Commissariat à l'énergie atomique et aux énergies alternatives;CEA;EPIC;Organismes de type EPIC;0912281K;77568501900587;TUTE;établissement tutelle;;196718590E;;;;;5,8;Biologie, médecine et santé,Sciences pour l'ingénieur;"LS7;LS5;LS1;LS2";Prevention, Diagnosis and Treatment of Human Diseases : Medical technologies and tools for prevention, diagnosis and treatment of human diseases, therapeutic approaches and interventions, pharmacology, preventative medicine, epidemiology and public health, digital medicine,Neuroscience and Disorders of the Nervous System : Nervous system development, homeostasis and ageing, nervous system function and dysfunction, systems neuroscience and modelling, biological basis of cognitive processes and of behaviour, neurological and mental disorders,Molecules of Life: Biological Mechanisms, Structures and Functions : Molecular biology, biochemistry, structural biology, molecular biophysics, synthetic and chemical biology, drug design, innovative methods and modelling,Integrative Biology: from Genes and Genomes to Systems : Genetics, epigenetics, genomics and other ‘omics studies, bioinformatics, systems biology, genetic diseases, gene editing, innovative methods and modelling, ‘omics for personalised medicine;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200423157H&PUBLIC=OK
200918517T;LABORATOIRE ENERGÉTIQUE MÉCANIQUE ELECTROMAGNÉTISME;LEME;2009;Unité propre;21;2;https://leme.parisnanterre.fr/;UNIVERSITE PARIS NANTERRE - SITE DE VILLE D'AVRAY - 50 RUE DE SEVRES;92410;VILLE D'AVRAY;VIDAL,GROSU;Philippe,Lavinia;Directeur,Directrice adjointe;;Université Paris Nanterre;PARIS 10;UNIV;Université;0921204J;19921204400010;TUTE;établissement tutelle;;;;;;;8;Sciences pour l'ingénieur;PE2;Fundamental constituents of matter : particle, nuclear, plasma, atomic, molecular, gas, and optical physics;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200918517T&PUBLIC=OK
201923225S;Unité Déficits Sensoriels Progressifs, Pathophysiologie et Thérapie;;2019;Unité propre;21;2;https://research.pasteur.fr/en/team/progressive-sensory-disorders-pathophysiology-and-therapy/;63 rue de Charenton;75012;Paris;EL AMRAOUI;Aziz;;;Institut Pasteur;INSTITUT PASTEUR;FONDATION;Fondation et institut particulier (Institut pasteur, Institut Curie, etc.);0755366A;77568489700017;TUTE;établissement tutelle;;201923617T;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201923225S&PUBLIC=OK
201323818M;Neuropsychologie & Audition;N2A;2013;Equipe interne;1;1;https://psitec.univ-lille.fr/;Université de Lille  Domaine du Pont de Bois;59650;Villeneuve d'Ascq;DELLACHERIE;Delphine;Responsable;;Université de Lille (EPE);LILLE;UNIV;Université;0597239Y;13002975400012;TUTE;établissement tutelle;;200615318D;;;;;6;Sciences humaines et humanités;SH4;The Human Mind and Its Complexity : Cognitive science, psychology, linguistics;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201323818M&PUBLIC=OK
201923822R;Geovisualisation, Interaction, and Immersion;GEOVIS;2019;Equipe interne;1;1;;;;;Christophe;Sidonie;DIR;;Institut national de l'information géographique et forestière;IGN;EPA;Etablissement public à caractère administratif;;18006701900430;TUTE;établissement tutelle;;;;;;;9;Sciences et technologies de l'information et de la communication;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201923822R&PUBLIC=OK
200523825E;Interactions Rayonnement-Nuages;;2005;Equipe interne;1;1;http://www-loa.univ-lille1.fr;Bâtiment P5 campus Cité Scientifique  2 Avenue Jean Perrin;59650;Villeneuve d'Ascq;CORNET;Céline;;;Centre national de la recherche scientifique,Université de Lille (EPE);CNRS,LILLE;EPST,UNIV;Organismes de type EPST,Université;0753639Y,0597239Y;18008901303720,13002975400012;TUTE,TUTE;établissement tutelle,établissement tutelle;;199812847C;;;;;3;Sciences de la terre et de l'univers, espace;PE10;Earth System Science : Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200523825E&PUBLIC=OK
201923958N;Ecosystèmes microbiens alimentaires et digestifs;;2019;Equipe interne;1;1;https://www.bioecoagro.eu;Bât. Polytech’Lille, Avenue Langevin, Cité Scientifique;59655;Villeneuve d'Ascq cedex;DELCENSERIE,DRIDER;Véronique,Djamel;;;Université Littoral-Côte d'Opale,Université Artois,Université Picardie Jules-Verne Amiens,Institut national de recherche pour l'agriculture, l'alimentation et l'environnement,JUNIA - Grande école d'ingénieur de LILLE,Université de Lille (EPE);LITTORAL,ARTOIS,AMIENS,INRAE,JUNIA,LILLE;UNIV,UNIV,UNIV,EPST,AUT_ETAB,UNIV;Université,Université,Université,Organismes de type EPST,Autres établissements ESR,Université;0595964M,0623957P,0801344B,0597165T,0597239Y;19594403800205,19624401600016,19801344300017,18007003901803,78370700300035,13002975400012;TUTE,TUTE,TUTE,TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle;;202023591K;;;;;10;Sciences agronomiques et écologiques;LS9;Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201923958N&PUBLIC=OK
202023972Z;Polysaccharides de réserve chez les végétaux;;2020;Equipe interne;1;1;http://ugsf-umr-glycobiologie.univ-lille1.fr;Université de Lille - Cité Scientifique - Bâtiment C9;59655;Villeneuve d'Ascq;D'HULST;Christophe;;;Centre national de la recherche scientifique,Université de Lille (EPE);CNRS,LILLE;EPST,UNIV;Organismes de type EPST,Université;0753639Y,0597239Y;18008901303720,13002975400012;TUTE,TUTE;établissement tutelle,établissement tutelle;;199812904P;;;;;5;Biologie, médecine et santé;LS1;Molecules of Life: Biological Mechanisms, Structures and Functions : Molecular biology, biochemistry, structural biology, molecular biophysics, synthetic and chemical biology, drug design, innovative methods and modelling;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202023972Z&PUBLIC=OK
201923733U;Transplantation et Thérapies Innovantes de la Cornée - GRC 32;TTIC;2019;Unité propre;21;2;https://sante.sorbonne-universite.fr/structures-de-recherche/transplantation-et-therapies-innovantes-de-la-cornee-ttic;Hôpital des Quinze-Vingts - 28 rue Charenton;75012;Paris;BORDERIE;Vincent;DIR;GRC 32;Sorbonne Université;SORBONNE UNIV.;UNIV;Université;0755890V;13002338500011;TUTE;établissement tutelle;;;;;;;;;LS4;Physiology in Health, Disease and Ageing : Organ and tissue physiology, comparative physiology, physiology of ageing, pathophysiology, inter-organ and tissue communication, endocrinology, nutrition, metabolism, interaction with the microbiome, non-communicable diseases including cancer (and except disorders of the nervous system and immunity-related diseases);https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201923733U&PUBLIC=OK
201923736X;Institut de Science des Données de Montpellier;ISDM;2019;Unité mixte;22;2;;Université de Montpellier, Place Eugène Bataillon;34090;Montpellier;LAURENT;Anne;Directrice;US 57,UAR_UM 501;Institut national de la sante et de la recherche medicale,Centre de Cooperation Internationale en Recherche Agronomique pour le Developpement,Université de Montpellier (EPE);INSERM,CIRAD,MONTPELLIER;EPST,EPIC,UNIV;Organismes de type EPST,Organismes de type EPIC,Université;0755364Y,0755516N,0342490X;18003604800015,33159627000016,13002979600013;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;;;;;;1,9;Mathématiques et leurs interactions,Sciences et technologies de l'information et de la communication;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201923736X&PUBLIC=OK
201823737C;Laboratoire de recherche en Arts;LaRA;2018;Unité propre;21;2;http://www.ensapc.fr;ENSAPC, 2 rue des Italiens;95000;Cergy;DISERENS;Corinne;DIR;;École Nationale Supérieure d'Arts de Paris-Cergy;ENSAPC;AUT_ETAB;Autres établissements ESR;0951310H;18009240500018;TUTE;établissement tutelle;;;;;;;;;SH5;Texts and Concepts : Literary studies, literature, philosophy;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201823737C&PUBLIC=OK
202023764Y;Inflammasome et canaux ioniques;;2020;Equipe interne;1;1;http://phycell.univ-lille.fr/;Université de Lille - Cité Scientifique - Bâtiment SN3;59655;Villeneuve d'Ascq;CHAMAILLARD;Mathias;;;Institut national de la sante et de la recherche medicale,Université de Lille (EPE);INSERM,LILLE;EPST,UNIV;Organismes de type EPST,Université;0755364Y,0597239Y;18003604800015,13002975400012;TUTE,TUTE;établissement tutelle,établissement tutelle;;200616190B;;;;;5;Biologie, médecine et santé;LS4;Physiology in Health, Disease and Ageing : Organ and tissue physiology, comparative physiology, physiology of ageing, pathophysiology, inter-organ and tissue communication, endocrinology, nutrition, metabolism, interaction with the microbiome, non-communicable diseases including cancer (and except disorders of the nervous system and immunity-related diseases);https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202023764Y&PUBLIC=OK
201523785T;Modélisation pour les Sciences du Vivant;MSV;2015;Equipe interne;1;1;https://www.cristal.univ-lille.fr;Université de Lille - Bâtiment ESPRIT - Cité Scientifique;59655;Villeneuve d'Ascq;PUPIN;Maude;;;Centrale Lille Institut,Centre national de la recherche scientifique,Institut national de la recherche en informatique et automatique,Ecole Nationale Supérieure Mines - Télécom Lille Douai,Université de Lille (EPE);CLI,CNRS,INRIA,IMT Nord Europe,LILLE;AUT_ETAB,EPST,EPST,EPA,UNIV;Autres établissements ESR,Organismes de type EPST,Organismes de type EPST,Etablissement public à caractère administratif,Université;0597139P,0753639Y,0780491K,0597060D,0597239Y;19590349700012,18008901303720,18008904700013,18009202500139,13002975400012;TUTE,TUTE,TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle;;201521249L;;;;;9;Sciences et technologies de l'information et de la communication;PE6;Computer science and informatics : informatics and information systems, computer science, scientific computing, intelligent systems;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201523785T&PUBLIC=OK
200923870L;Equipe scientifique « Plasmas de Fusion » - Laboratoire de physique des plasmas;LPP;2009;Equipe interne;1;1;http://www.lpp.polytechnique.fr;LPP - Ecole Polytechnique – Route de Saclay;91128;Palaiseau;HONORÉ,MOREL;Cyrille,Pierre;Responsable,Responsable;;Observatoire Paris,Ecole Polytechnique,Centre national de la recherche scientifique,Sorbonne Université,Institut polytechnique de Paris,Université Paris-Saclay,Université Paris sciences et lettres;OBSV.PARIS,EC. POLYTECHNIQUE,CNRS,SORBONNE UNIV.,IP PARIS,U PARIS-SACLAY,PSL;AUT_ETAB,AUT_ETAB,EPST,UNIV,AUT_ETAB,UNIV,UNIV;Autres établissements ESR,Autres établissements ESR,Organismes de type EPST,Université,Autres établissements ESR,Université,Université;0753496T,0911568K,0753639Y,0755890V,0912403T,0912408Y,0756036D;19753496900013,19911568400011,18008901303720,13002338500011,13002562000019,13002602400054,13002614900018;TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,PART;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement participant;;201019049S;;;;;2,3,8;Physique,Sciences de la terre et de l'univers, espace,Sciences pour l'ingénieur;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200923870L&PUBLIC=OK
